^VOX,^VCR,^VDC,^VDE,^VFH,^VHT,^VIS,^VGT,^VAW,^VNQ,^VPU,^VIX,sp500,label
48.42,36.54,55.5,71.45,24.47,44.07,42.12,39.38,52.3,31.3,56,33.44,907.39,0
48.94,36.96,56.11,75,26.17,44.52,43.44,39.45,53.78,33.39,56.94,32.05,929.23,1
48.73,36.35,55.81,72.64,24.79,44.12,42.26,39.48,52.73,32.12,56.73,32.87,909.24,0
48.69,35.49,56.42,73,24.33,44.64,41.72,39.21,53.16,32.03,56.89,31.8,908.35,1
46.9,34.16,55.77,70.36,23,44.39,39.96,38.19,50.63,29.93,55.36,33.65,883.92,0
47.5,34.54,55.9,70.69,23.87,44.49,40.32,38.71,51.41,30.64,55.19,31.37,893.07,0
46.94,34.31,55.66,69,23.33,43.98,40.16,38.76,51.31,29.61,54.09,33.12,882.88,0
48.1,35.85,56.74,71.62,24.76,44.48,41.5,39.77,53.21,31.99,54.05,30.24,909.71,0
48.08,35.8,56.82,72.05,24.25,44.29,41.57,40.02,53.79,31.38,54.99,28.8,908.13,0
47.93,35.46,56.9,72.29,23.9,44.42,41.59,39.75,54.04,31.13,54.17,29.03,903.47,0
46.79,34.72,56.46,70.32,23.53,43.96,40.29,39.2,52.75,31.22,53.62,31.35,888.33,0
46.58,34.72,56.71,70.35,23.45,43.83,40.11,39.02,52.73,30.45,53.9,32.63,887,0
48.25,36.1,57.29,71.85,24.35,44.56,41.35,40.28,53.85,32.26,55.42,30.62,910.33,0
47.77,35.33,56.27,71.19,23.52,44.1,40.52,39.98,52.24,31.09,54.45,32.36,893.06,0
48.38,35.22,56.73,73.6,24.09,44.31,40.79,40.5,52.95,31.52,55.45,31.67,906.83,0
48.66,35.87,57.32,75.16,24.53,44.99,41.52,40.82,54.41,32.56,56.02,28.92,919.14,0
49.33,37.46,58.57,77.75,24.95,45.29,43.53,42.31,56.17,34.23,57.77,30.04,942.87,0
49.8,37.78,59.22,77.65,24.66,45.87,43.67,42.08,56.68,33.52,57.24,29.63,944.74,0
49.12,37.29,58.86,74.58,24.34,45.71,42.86,41.85,54.74,33.46,56.18,31.02,931.76,0
49.31,37.31,59.03,76.24,25.09,45.21,43.72,42.52,55.89,34.53,56.7,30.18,942.46,0
49.42,37.27,58.85,75.8,24.88,45.17,44.08,42.74,55.5,34.44,56.86,29.62,940.09,0
48.76,37.36,58.82,75.43,25,44.88,43.88,42.57,54.86,33.81,56.46,29.77,939.14,0
48.95,37.71,58.52,76.22,25.18,44.63,43.91,43.02,56.11,33.81,56.21,28.27,942.43,0
48.97,37.31,58.05,77,24.72,44.44,43.67,42.95,56.13,33.22,56.95,28.46,939.15,0
49.74,36.95,58.04,78.41,24.95,44.89,43.7,43.18,56.84,32.54,58.19,28.11,944.89,0
49.93,37,58.44,77.69,25.09,45.09,43.63,43.07,56.13,33.72,58.99,28.15,946.21,1
49.04,36.18,57.18,75.75,24.46,43.87,42.34,42.35,54.25,32.12,57.76,30.81,923.72,0
48.57,35.37,56.45,73.96,24.04,43.88,41.62,41.84,52.82,31.53,57.44,32.68,911.97,0
48.65,35.66,56.74,72.63,23.54,44.78,41.34,42.11,52.18,30.93,57.62,31.54,910.71,0
49.14,35.63,57.69,72.36,23.94,45.79,41.34,41.98,52.5,31.14,58.88,30.03,918.37,0
48.95,35.93,57.36,71.68,24.32,46.16,41.41,42.4,52.52,31.45,57.95,27.99,921.23,1
48.71,34.91,56.9,67.77,23.06,45.1,39.85,41.18,49.66,29.81,57.8,31.17,893.04,0
48.85,34.6,56.74,68.11,23.29,44.94,39.72,41.18,50.4,30.03,57.27,30.58,895.1,0
49.07,34.88,56.81,68.46,23.4,45.26,39.91,41.77,50.89,30.19,57.08,29.05,900.94,0
50.2,35.98,57.74,70.16,23.8,46.54,41.07,42.53,52.12,30.59,58.04,26.36,920.26,0
49.93,35.9,57.68,69.6,23.81,46.63,40.98,42.59,52.13,30.85,57.8,25.93,918.9,0
50.37,36.24,58.09,70.4,24.08,46.87,41.31,42.79,52.63,30.83,58.6,25.35,927.23,0
49.72,36.07,57.68,69.97,24.08,46.54,40.84,42.58,52.03,31.01,58.43,26.35,919.32,0
49.75,36.36,58.61,70.05,24.07,46.54,41.14,42.86,52.16,31.55,59.16,26.22,923.33,1
48.55,35.01,57.61,67.25,23.25,45.4,39.89,41.91,50.97,29.88,57.45,27.95,896.42,0
48.39,34.89,58.35,66.4,23.29,45.7,39.63,41.66,50.29,30.63,57.68,29,898.72,0
47.34,34.1,57.71,64.66,22.83,45.5,38.42,40.63,48.99,29.44,56.45,30.85,881.03,0
46.77,34.29,57.9,64.5,22.53,45.78,38.22,40.64,48.73,29.16,56.33,31.3,879.56,0
46.92,34.46,57.46,65.38,22.74,45.27,38.44,40.79,49.18,28.61,56.43,29.78,882.68,0
46.9,34.44,57.3,64.87,22.47,45.09,38.59,41.01,49.04,28.57,56.29,29.02,879.13,0
47.59,35.05,57.99,65.86,23.75,45.72,39.49,41.77,50.2,29.65,57.13,26.31,901.05,0
47.59,35.6,58.39,66.84,23.72,45.96,40.02,41.96,50.59,30.01,57.54,25.02,905.84,0
48.73,36.71,59.54,69.35,24.61,46.43,41.38,43.78,52.71,31.12,58.74,25.89,932.68,0
48.74,37.2,59.76,70.2,24.62,46.8,42.06,44.51,53.72,31.48,58.89,25.42,940.74,0
48.92,37.19,59.92,70.7,24.41,46.55,41.61,44.87,53.87,30.64,58.55,24.34,940.38,0
49.46,38,59.96,71.79,24.62,46.8,42.43,45.33,54.94,31.72,58.94,24.4,951.13,0
49.86,37.92,59.9,72.45,24.47,47.47,42.35,45.54,55.54,31.63,59.6,23.87,954.58,0
49.95,38.29,59.95,71.79,24.52,47.21,42.54,45.81,55.71,31.67,59.36,23.47,954.07,0
51,39.22,60.73,73.98,25.2,48.3,43.57,46.65,57.56,32.93,60.87,23.43,976.29,0
50.9,39.24,61.2,74.89,25.18,49.13,43.69,46.46,58.05,33.16,61.8,23.09,979.26,0
50.79,39.28,61.1,75.03,25.64,49.1,43.96,46.35,58.27,33.64,61.73,24.28,982.18,0
50.99,39.3,61.18,73.84,25.54,49.26,43.9,46.47,57.75,33.61,60.87,25.01,979.62,0
50.86,38.98,61.32,72.05,25.46,49.44,43.53,46.32,56.51,33.19,60.65,25.61,975.15,0
51.42,39.61,61.54,73.11,26.06,49.46,44.47,46.6,58.1,34.38,61.44,25.4,986.75,0
50.91,39.71,61.5,73.85,26.23,49.28,44.66,46.52,58.58,34.35,60.9,25.92,987.48,0
51.39,40.51,61.54,75.95,26.89,49.57,45.61,47.15,60.8,34.97,61.31,25.56,1002.63,0
51.56,40.59,61.66,75.71,27.45,49.57,45.84,47.14,60.77,36.88,60.7,24.89,1005.65,0
51,40.48,61.08,74.9,28.3,49.02,45.56,46.76,61.12,38.29,60.21,24.9,1002.72,0
50.01,40.4,60.66,74.17,28.14,48.45,45.67,46.37,60.62,38,60.38,25.67,997.08,0
50.28,41.73,60.97,74.32,28.89,48.88,46.79,46.92,61.19,40.12,60.94,24.76,1010.48,0
50.19,41.3,61.14,74.53,28.7,49.19,46.36,46.65,60.18,39.26,61.06,24.99,1007.1,0
